,listingAddress,unitNumber,listingId,rentAmount,rentType,bedrooms,bathrooms,housingType,dateAvailable,gmapLatitude,gmapLongitude,pets,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate
72,230 BRYANT AVENUE,,75.0,795.0,Price per Unit,1,1,Rent,2017-06-01T04:00:00.000Z,42.440319976285075,-76.48308246627045,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
73,717 BUFFALO STREET E,,76.0,775.0,Price per Person,10,4,Room to Rent,2021-08-10T04:00:00.000Z,42.4415576058844,-76.4875651398811,No,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
74,230 BRYANT AVENUE,,77.0,795.0,Price per Unit,1,1,Rent,2017-06-01T04:00:00.000Z,42.440222,-76.483002,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
75,1134 E. Shore Dr.,,78.0,2600.0,Price per Unit,4,2.5,Rent,2017-07-15T04:00:00.000Z,42.4769545,-76.5069109,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
76,604 STATE STREET E,,79.0,580.0,Price per Person,1,2,Room to Rent,2017-05-29T04:00:00.000Z,42.439379,-76.489353,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
77,154 STATE STREET E,3,80.0,780.0,Price per Person,1,1,Room to Rent,2017-05-25T04:00:00.000Z,42.43985918093662,-76.49711843558197,No,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,232 LINDEN AVENUE,7,81.0,600.0,Price per Unit,1,1,Rent,2017-05-22T04:00:00.000Z,42.44097,-76.484442,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
79,87 Uptown Road,,82.0,900.0,Price per Unit,1,1,Rent,2018-09-11T04:00:00.000Z,42.479135680687776,-76.47447301838531,Yes,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
80,87 Uptown Road,,83.0,1200.0,Price per Unit,2,1,Rent,2018-04-01T04:00:00.000Z,42.47920282270304,-76.47452934477462,Yes,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,87 Uptown Road,,84.0,1200.0,Price per Unit,2,1,Rent,2017-06-01T04:00:00.000Z,42.47913288310224,-76.47448374722137,Yes,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
